DATE,COUNT
2017-01-28,160.0
2017-01-29,167.0
2017-01-30,176.0
2017-01-31,192.0
2017-02-01,196.0
2017-02-02,191.0
2017-02-03,168.0
2017-02-04,140.0
2017-02-05,143.0
2017-02-06,189.0
2017-02-07,176.0
2017-02-08,161.0
2017-02-09,158.0
2017-02-10,155.0
2017-02-11,149.0
2017-02-12,136.0
2017-02-13,132.0
2017-02-14,154.0
2017-02-15,229.0
2017-02-16,168.0
2017-02-17,147.0
2017-02-18,113.0
2017-02-19,134.0
2017-02-20,157.0
2017-02-21,136.0
2017-02-22,145.0
2017-02-23,111.0
2017-02-24,128.0
2017-02-25,110.0
2017-02-26,110.0
2017-02-27,126.0
2017-02-28,131.0
2017-03-01,138.0
2017-03-02,124.0
2017-03-03,126.0
2017-03-04,109.0
2017-03-05,102.0
2017-03-06,113.0
2017-03-07,108.0
2017-03-08,108.0
2017-03-09,114.0
2017-03-10,86.0
2017-03-11,81.0
2017-03-12,74.0
2017-03-13,104.0
2017-03-14,114.0
2017-03-15,97.0
2017-03-16,84.0
2017-03-17,72.0
2017-03-18,81.0
2017-03-19,79.0
2017-03-20,106.0
2017-03-21,103.0
2017-03-22,88.0
2017-03-23,85.0
2017-03-24,87.0
2017-03-25,65.0
2017-03-26,91.0
2017-03-27,94.0
2017-03-28,93.0
2017-03-29,72.0
2017-03-30,83.0
2017-03-31,94.0
2017-04-01,61.0
2017-04-02,85.0
2017-04-03,111.0
2017-04-04,85.0
2017-04-05,92.0
2017-04-06,83.0
2017-04-07,97.0
2017-04-08,82.0
2017-04-09,71.0
2017-04-10,96.0
2017-04-11,84.0
2017-04-12,67.0
2017-04-13,82.0
2017-04-14,70.0
2017-04-15,71.0
2017-04-16,69.0
2017-04-17,70.0
2017-04-18,80.0
2017-04-19,85.0
2017-04-20,130.0
2017-04-21,100.0
2017-04-22,66.0
2017-04-23,69.0
2017-04-24,73.0
2017-04-25,92.0
2017-04-26,94.0
2017-04-27,82.0
2017-04-28,71.0
2017-04-29,45.0
2017-04-30,73.0
2017-05-01,99.0
2017-05-02,136.0
2017-05-03,109.0
2017-05-04,94.0
2017-05-05,103.0
2017-05-06,89.0
2017-05-07,69.0
2017-05-08,85.0
2017-05-09,86.0
2017-05-10,88.0
2017-05-11,99.0
2017-05-12,101.0
2017-05-13,79.0
2017-05-14,86.0
2017-05-15,110.0
2017-05-16,99.0
2017-05-17,84.0
2017-05-18,101.0
2017-05-19,74.0
2017-05-20,58.0
2017-05-21,75.0
2017-05-22,95.0
2017-05-23,70.0
2017-05-24,75.0
2017-05-25,62.0
2017-05-26,72.0
2017-05-27,60.0
2017-05-28,74.0
2017-05-29,82.0
2017-05-30,97.0
2017-05-31,83.0
2017-06-01,103.0
2017-06-02,92.0
2017-06-03,71.0
2017-06-04,78.0
2017-06-05,74.0
2017-06-06,75.0
2017-06-07,123.0
2017-06-08,81.0
2017-06-09,84.0
2017-06-10,67.0
2017-06-11,74.0
2017-06-12,89.0
2017-06-13,88.0
2017-06-14,89.0
2017-06-15,103.0
2017-06-16,93.0
2017-06-17,79.0
2017-06-18,95.0
2017-06-19,85.0
2017-06-20,78.0
2017-06-21,77.0
2017-06-22,64.0
2017-06-23,82.0
2017-06-24,84.0
2017-06-25,67.0
2017-06-26,71.0
2017-06-27,85.0
2017-06-28,126.0
2017-06-29,132.0
2017-06-30,113.0
2017-07-01,125.0
2017-07-02,114.0
2017-07-03,127.0
2017-07-04,121.0
